image,caption
9_11.png,"a banner that says "" huge plant sale "" on it."
15_6.png,an advertisement for a box that says'bag'on it
8_10.png,an advert for an advert for an electric scooter.
9_6.png,"a sign that says "" pack "" on it."
15_9.png,an ad for a product that is for sale
3_9.png,a baby bottle that is on a screen
16_5.png,"a picture of a sign that says "" a dog ""."
20_2.png,"a yellow text that says "" match "" on it."
19_1.png,a screen that says free cards on it
5_15.png,"a green and white sign that says "" try to get free days ""."
10_12.png,an advertisement for an advert for a pizza shop.
15_1.png,a postcard that says office on it
16_11.png,an advertisement for a dog with a dog on it.
18_7.png,an advertisement for a blue and white birdhouse.
19_13.png,a group of lego people are lined up in a line.
8_2.png,a sign that says shop tools at work.
6_10.png,a phone screen with two girls on it
1_6.png,a sign that says hello kitty on it
12_13.png,a sign that says'sport'on it
1_12.png,a man and a woman are wearing sunglasses.
15_11.png,"a sign that has the words "" search & credit cards "" on the bottom right of the picture............................................................................................................................................................................................................................................................................................................................................................................................................................................................"
20_14.png,an advertisement for a smart phone with a woman on the screen.
13_4.png,the word jewelry is on a white background
5_6.png,a book that says breaking the complete series about breaking the complete series.
1_11.png,an advertisement for stay warm in men's clothing.
6_3.png,a sign that says 1. 50 % sale.
2_7.png,an ad for an advertisement for an advert for an ad for a limited edition car.
8_13.png,a poster that says the highest quality tools in the world.
17_8.png,"a screenshot of a computer screen that says "" windows ""."
3_5.png,an advertisement for an infant's baby's diapers.
5_8.png,an advertisement for a pig with a man on the cover.
1_13.png,a man standing on a beach with a shirt that says polo.
7_8.png,a video game called the video game of video games.
18_11.png,"an advertisement for a woman with a tank top that says "" exercise system ""."
1_1.png,a sign that says blue shoes percent off.
11_15.png,a cd case that has the word ok up on it
11_13.png,a box that has the word sale on it
16_12.png,a sign that says keep your best friend on it.
14_4.png,a picture of a website that has the word sale on it.
17_1.png,"a computer screen shows a page that shows a page that says "" download ""."
9_9.png,"an ad for a bench that has the word "" free "" on it."
8_9.png,a sign that says 2 x4 on it
2_11.png,an ad for a car that says that it's a super car.
8_5.png,"a sign that says "" water tools shop "" on the top of the website.............................................................................................................................................................................................................................................................................................................................................................................................................................................."
10_9.png,a blue box that has the word espresso on it
8_4.png,a sign that says buy paint brush.
7_13.png,a box that says wii on it
4_1.png,an advertisement for a health care and protection.
18_14.png,a poster of a man with a pair of shoes on it
18_6.png,a tent with a blue tent on it
15_10.png,an advertisement for a phone with a note on it
13_13.png,a blue card with a gold heart on it
14_8.png,a picture of a long stick with the words start at the top.
4_10.png,a box that has the word dummies on it
17_5.png,a screen that says'top sound recording'on it
11_4.png,a sign that says washers from 50 %.
18_1.png,a sign that says campers from the camp site.
3_12.png,a mother and baby products advertises baby care products.
9_12.png,a sign that says summer sale.
20_12.png,a woman in a leopard print dress has a hat on it.
12_1.png,play and win on the go and win on the go.
16_10.png,"a saddle with a saddle on it that says "" kodak "" on the top........................................................................................................................................................................................................................................................................................."
2_9.png,"a sign that says "" shine light "" on it."
9_3.png,a poster for plant seeds for sale for organic life.
1_14.png,an advertisement for american apparel is displayed on a white background.
2_3.png,an advertisement for jewelry for car parts for car.
11_14.png,an advertisement for winter sale is displayed on a bed.
1_10.png,a black leather belt is on a white background.
3_15.png,an advertisement for a man and a young child.
2_14.png,"an advertisement for a bmw with the words "" get you "" on it."
2_8.png,a web page that has an engine on it
7_7.png,a video game is shown on a white background.
9_7.png,an advertisement for a plant that says 5. 5 inches.
17_15.png,an advertisement for an advert for an advert for an app.
3_1.png,a website for baby mattress and baby mattress.
